date,regime,drawdown,BTCUSDT,ETHUSDT,SOLUSDT,XRPUSDT,CASH
2026-08-30,NEUTRAL,-0.0199,0.1125,0.1125,0.1125,0.1125,0.1
2026-08-31,NEUTRAL,-0.0474,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-01,NEUTRAL,-0.0365,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-02,NEUTRAL,-0.0621,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-03,NEUTRAL,-0.0514,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-04,NEUTRAL,-0.0057,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-05,NEUTRAL,-0.0336,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-06,NEUTRAL,-0.0169,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-07,NEUTRAL,-0.0216,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-08,NEUTRAL,-0.032,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-09,NEUTRAL,-0.0188,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-10,NEUTRAL,-0.0365,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-11,NEUTRAL,-0.0576,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-12,NEUTRAL,-0.0467,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-13,NEUTRAL,-0.0451,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-14,NEUTRAL,-0.0417,0.1125,0.1125,0.1125,0.1125,0.1
2026-09-15,NEUTRAL,-0.0308,0.1125,0.1125,0.1125,0.1125,0.1
